SARS_CoV_2_nsp7 6M71_C 100.000 83 | 2 84 1 83
SARS_CoV_2_nsp7 2AHM_A 98.795 83 | 2 84 6 88
SARS_CoV_2_nsp7 6NUR_C 98.795 83 | 2 84 2 84
SARS_CoV_2_nsp7 1YSY_A 98.795 83 | 2 84 3 85
SARS_CoV_2_nsp8 6M71_B 100.000 198 | 2 199 1 198
SARS_CoV_2_nsp8 6NUR_B 97.475 198 | 2 199 1 198
SARS_CoV_2_nsp8 2AHM_E 97.475 198 | 2 199 6 203
SARS_CoV_2_nsp8 5F22_B 94.697 132 | 68 199 3 134
SARS_CoV_2_nsp9 6W4B_A 100.000 114 | 1 114 4 117
SARS_CoV_2_nsp9 6W9Q_A 100.000 113 | 2 114 21 133
SARS_CoV_2_nsp9 1UW7_A 97.345 113 | 2 114 31 143
SARS_CoV_2_nsp9 1QZ8_A 97.345 113 | 2 114 1 113
SARS_CoV_2_nsp9 3EE7_A 96.460 113 | 2 114 1 113
SARS_CoV_2_nsp10 6W61_B 100.000 140 | 1 140 1 140
SARS_CoV_2_nsp10 6W4H_B 100.000 139 | 2 140 4 142
SARS_CoV_2_nsp10 2G9T_A 97.122 139 | 2 140 1 139
SARS_CoV_2_nsp10 5C8S_A 97.122 139 | 2 140 6 144
SARS_CoV_2_nsp10 5NFY_M 98.473 131 | 2 132 8 138
SARS_CoV_2_nsp10 3R24_B 96.923 130 | 11 140 13 142
SARS_CoV_2_nsp10 2FYG_A 98.374 123 | 11 133 6 128
SARS_CoV_2_nsp10 2XYQ_B 98.361 122 | 11 132 1 122
SARS_CoV_2_nsp10 2XYV_B 97.541 122 | 11 132 1 122
SARS-CoV-2_nsp11 3R24_B 84.615 13 | 2 14 143 155
SARS-CoV-2_nsp11 2G9T_A 84.615 13 | 2 14 140 152
SARS_CoV_2_nsp12 6M71_A 100.000 932 | 2 933 1 932
SARS_CoV_2_nsp12 6NUR_A 96.348 931 | 2 932 3 933
SARS_CoV_2_nsp13 6JYT_A 98.502 601 | 2 602 3 603
SARS_CoV_2_nsp14 5C8S_B 95.066 527 | 1 527 1 527
SARS_CoV_2_nsp14 5C8T_B 95.066 527 | 1 527 2 528
SARS_CoV_2_nsp14 5NFY_A 94.877 527 | 1 527 8 534
SARS_CoV_2_nsp15 6VWW_A 100.000 347 | 1 347 25 371
SARS_CoV_2_nsp15 2OZK_A 88.728 346 | 2 347 1 346
SARS_CoV_2_nsp15 2RHB_A 88.473 347 | 1 347 7 353
SARS_CoV_2_nsp15 2H85_A 88.116 345 | 2 346 3 347
SARS_CoV_2_nsp16 6W4H_A 100.000 298 | 2 299 4 301
SARS_CoV_2_nsp16 6W61_A 99.666 299 | 1 299 1 299
SARS_CoV_2_nsp16 3R24_A 93.289 298 | 2 299 47 344
SARS_CoV_2_nsp16 2XYR_A 93.493 292 | 2 293 1 292
SARS_CoV_2_nsp16 2XYQ_A 93.448 290 | 2 291 1 290
SARS_CoV_2_E 5X29_A 88.710 62 | 4 65 20 81
SARS_CoV_2_E 2MM4_A 91.379 58 | 8 65 1 58
SARS_CoV_2_N 6YI3_A 99.275 138 | 43 180 3 140
SARS_CoV_2_N 6M3M_A 100.000 134 | 41 174 3 136
SARS_CoV_2_N 1SSK_A 92.029 138 | 43 180 21 158
SARS_CoV_2_N 6VYO_A 100.000 127 | 47 173 2 128
SARS_CoV_2_N 2OFZ_A 92.063 126 | 48 173 13 138
SARS_CoV_2_N 2CJR_A 95.763 118 | 247 364 11 128
SARS_CoV_2_N 2GIB_A 96.040 101 | 269 369 3 103
SARS_CoV_2_orf7a 1XAK_A 87.805 82 | 14 95 1 82
SARS_CoV_2_orf7a 1YO4_A 90.476 84 | 16 98 3 86
SARS_CoV_2_S 6VSB_A 99.586 1208 | 1 1208 1 1208
SARS_CoV_2_S 6VXX_A 99.500 1199 | 13 1211 32 1230
SARS_CoV_2_S 6VYB_A 99.416 1199 | 13 1211 32 1230
SARS_CoV_2_S 6LZG_B 99.554 224 | 319 542 1 224
SARS_CoV_2_S 6W41_C 100.000 223 | 319 541 1 223
SARS_CoV_2_S 6M17_E 100.000 223 | 319 541 1 223
SARS_CoV_2_S 6VW1_E 85.714 217 | 319 535 1 217
SARS_CoV_2_S 1WYY_A 90.722 97 | 903 999 3 99
SARS_CoV_2_S 1WYY_A 100.000 45 | 1163 1207 105 149
SARS_CoV_2_S 6LXT_A 98.750 80 | 910 989 1 80
SARS_CoV_2_S 6LXT_A 100.000 45 | 1162 1206 86 130
SARS_CoV_2_S 5ZVM_A 88.608 79 | 910 988 2 80
SARS_CoV_2_S 2BEZ_C 88.312 77 | 914 990 1 77
SARS_CoV_2_S 5XJK_A 82.812 64 | 776 839 2 65
SARS_CoV_2_S 2FXP_A 98.148 54 | 1158 1211 2 55
SARS_CoV_2_S 2BEQ_D 100.000 46 | 1166 1211 2 47
SARS_CoV_2_S 1ZV7_A 100.000 44 | 1168 1211 1 44
SARS_CoV_2_S 2BEZ_F 100.000 42 | 1160 1201 1 42
SARS_CoV_2_S 1ZV8_A 82.000 50 | 919 968 1 50
SARS_CoV_2_S 1WNC_A 97.619 42 | 1162 1203 71 112
SARS_CoV_2_S 1WNC_A 81.633 49 | 918 966 1 49
SARS_CoV_2_S 1ZV8_B 100.000 36 | 1168 1203 1 36
SARS_CoV_2_S 1ZVA_A 100.000 37 | 944 980 1 37
SARS_CoV_2_S 1ZVA_A 100.000 35 | 1167 1201 43 77
SARS_CoV_2_S 1ZVB_A 100.000 34 | 958 991 1 34
SARS_CoV_2_S 2BEQ_A 80.556 36 | 932 967 2 37
SARS_CoV_2_S 2RUN_A 94.444 18 | 1203 1220 1 18
SARS_CoV_2_S 2RUO_A 100.000 16 | 891 906 1 16
